Item CD,Item name,BOM pattern,Variable operation time,Base qty.
2100000001,V-BELT W200 SA100,1,0.4,1
2100000002,V-BELT W200 SA101,3,1.4286,1
2100000003,V-BELT W200 SA102,3,1.4286,1
2100000004,V-BELT W200 SA103,3,1.4286,1
2100000005,V-BELT W200 SA104,3,1.4286,1
2100000006,V-BELT W200 SA105,3,1.4286,1
2100000007,V-BELT W200 SA106,3,1.4286,1
2100000008,V-BELT W200 SA107,3,1.4286,1
2100000009,V-BELT W200 SA108,3,1.4286,1
2100000010,V-BELT W200 SA109,3,1.4286,1
2100000011,V-BELT W200 SA110,3,1.4286,1
2100000012,V-BELT W200 SA111,3,1.4286,1
2100000013,V-BELT W200 SA112,3,1.4286,1
2100000014,V-BELT W200 SA113,3,1.4286,1
2100000015,V-BELT W200 SA114,3,1.4286,1
2100000016,V-BELT W200 SA115,3,1.4286,1
2100000017,V-BELT W200 SA116,3,1.6571,1
2100000018,V-BELT W200 SA117,3,1.6571,1
2100000019,V-BELT W200 SA118,3,1.6571,1
2100000020,V-BELT W200 SA119,3,1.6571,1
2100000021,V-BELT W200 SA120,3,1.6571,1
2100000022,V-BELT W200 SA121,3,1.6571,1
2100000023,V-BELT W200 SA122,3,1.6571,1
2100000024,V-BELT W200 SA123,3,1.6571,1
2100000025,V-BELT W200 SA124,3,1.6571,1
2100000026,V-BELT W200 SA125,3,1.6571,1
2100000027,V-BELT W200 SA126,3,1.6571,1
2100000028,V-BELT W200 SA127,3,1.6571,1
2100000029,V-BELT W200 SA128,3,1.6571,1
2100000030,V-BELT W200 SA129,3,1.6571,1
2100000031,V-BELT W200 SA130,3,1.6571,1
2100000032,V-BELT W200 SA131,3,1.6571,1
2100000033,V-BELT W200 SA132,3,1.6571,1
2100000034,V-BELT W200 SA133,3,1.6571,1
2100000035,V-BELT W200 SA134,3,1.6571,1
2100000036,V-BELT W200 SA135,3,1.6571,1
2100000037,V-BELT W200 SA136,3,1.6571,1
2100000038,V-BELT W200 SA137,3,1.6571,1
2100000039,V-BELT W200 SA138,3,1.8857,1
2100000040,V-BELT W200 SA139,3,1.8857,1
2100000041,V-BELT W200 SA140,3,1.8857,1
2100000042,V-BELT W200 SA141,3,1.8857,1
2100000043,V-BELT W200 SA142,3,1.8857,1
2100000044,V-BELT W200 SA143,3,1.8857,1
2100000045,V-BELT W200 SA144,3,1.8857,1
2100000046,V-BELT W200 SA145,3,1.8857,1
2100000047,V-BELT W200 SA146,3,1.8857,1
2100000048,V-BELT W200 SA147,3,1.8857,1
2100000049,V-BELT W200 SA148,3,1.8857,1
2100000050,V-BELT W200 SA149,3,1.8857,1
2100000051,V-BELT W200 SA150,3,1.8857,1
2100000052,V-BELT W200 SA151,3,1.8857,1
2100000053,V-BELT W200 SA152,3,1.8857,1
2100000054,V-BELT W200 SA153,3,1.8857,1
2100000055,V-BELT W200 SA154,3,1.8857,1
2100000056,V-BELT W200 SA155,3,1.8857,1
2100000057,V-BELT W200 SA156,3,1.8857,1
2100000058,V-BELT W200 SA157,3,1.8857,1
2100000059,V-BELT W200 SA158,3,1.8857,1
2100000060,V-BELT W200 SA159,3,1.8857,1
2100000061,V-BELT W200 SA160,3,1.8857,1
2100000062,V-BELT W200 SA161,3,2.1143,1
2100000063,V-BELT W200 SA162,3,2.1143,1
2100000064,V-BELT W200 SA163,3,2.1143,1
2100000065,V-BELT W200 SA164,3,2.1143,1
2100000066,V-BELT W200 SA165,3,2.1143,1
2100000067,V-BELT W200 SA166,3,2.1143,1
2100000068,V-BELT W200 SA167,3,2.1143,1
2100000069,V-BELT W200 SA168,3,2.1143,1
2100000070,V-BELT W200 SA169,3,2.1143,1
2100000071,V-BELT W200 SA170,3,2.1143,1
2100000072,V-BELT W200 SA171,3,2.1143,1
2100000073,V-BELT W200 SA172,3,2.1143,1
2100000074,V-BELT W200 SA173,3,2.1143,1
2100000075,V-BELT W200 SA174,3,2.1143,1
2100000076,V-BELT W200 SA175,3,2.1143,1
2100000077,V-BELT W200 SA176,3,2.1143,1
2100000078,V-BELT W200 SA177,3,2.1143,1
2100000079,V-BELT W200 SA178,3,2.1143,1
2100000080,V-BELT W200 SA179,3,2.1143,1
2100000081,V-BELT W200 SA180,3,2.1143,1
2100000082,V-BELT W200 SA181,3,2.1143,1
2100000083,V-BELT W200 SA182,3,2.1143,1
2100000084,V-BELT W200 SA183,3,1.7143,1
2100000085,V-BELT W200 SA184,3,2.3429,1
2100000086,V-BELT W200 SA185,3,2.3429,1
2100000087,V-BELT W200 SA186,3,2.3429,1
2100000088,V-BELT W200 SA187,3,2.3429,1
2100000089,V-BELT W200 SA188,3,2.3429,1
2100000090,V-BELT W200 SA189,3,2.3429,1
2100000091,V-BELT W200 SA190,3,2.3429,1
2100000092,V-BELT W200 SA191,3,2.3429,1
2100000093,V-BELT W200 SA192,3,2.3429,1
2100000094,V-BELT W200 SA193,3,2.3429,1
2100000095,V-BELT W200 SA194,3,2.3429,1
2100000096,V-BELT W200 SA195,3,2.3429,1
2100000097,V-BELT W200 SA196,3,2.3429,1
2100000098,V-BELT W200 SA197,3,2.3429,1
2100000099,V-BELT W200 SA198,3,2.3429,1
2100000100,V-BELT W200 SA199,3,2.3429,1
